id,text,label,category,notes
1,"Immigrants are replacing our culture and soon there won't be anything left of our heritage.",1,great_replacement,"Direct great replacement rhetoric"
2,"Studies show that undocumented immigrants commit crimes at significantly higher rates than citizens.",1,fabricated_statistics,"False statistic -- research shows opposite"
3,"These people are coming here to take advantage of our welfare system and send money back home.",1,welfare_myth,"Common misinformation trope"
4,"Illegal aliens are bringing diseases that were eradicated decades ago back into our country.",1,disease_myth,"Historically recurring anti-immigrant claim"
5,"The great replacement is real and happening in every Western country simultaneously.",1,great_replacement,"Explicit conspiracy theory"
6,"Migrants don't want to integrate -- they want to impose their culture on us.",1,integration_myth,"Generalization presented as fact"
7,"Every town that takes in refugees sees a spike in sexual assaults. This is a fact.",1,fabricated_statistics,"False claim presented as fact"
8,"They're not refugees, they're economic migrants gaming the asylum system.",1,asylum_myth,"Delegitimizing asylum seekers"
9,"Open borders means open invitation for terrorists. Every migrant is a potential threat.",1,security_myth,"Equating migration with terrorism"
10,"These caravans are organized and funded by globalist elites to destabilize our country.",1,conspiracy,"Antisemitic-adjacent conspiracy framing"
11,"Immigrants are hardworking contributors to our economy and communities.",0,neutral_positive,"Factual positive framing"
12,"New data from the Pew Research Center shows immigration has been a net economic positive for the US.",0,neutral_factual,"Factual citation"
13,"A local family from Guatemala has opened a restaurant that's become a neighborhood staple.",0,neutral_positive,"Human interest story"
14,"Asylum seekers are legally entitled to request protection under international law.",0,neutral_factual,"Statement of legal fact"
15,"The number of undocumented immigrants in the US has remained relatively stable for over a decade.",0,neutral_factual,"Factual demographic statement"
16,"My neighbor immigrated from Mexico 20 years ago and built a business employing 30 people.",0,neutral_positive,"Personal anecdote, positive"
17,"Research consistently shows immigrants are less likely to commit crimes than native-born citizens.",0,neutral_factual,"Factual -- well supported by research"
18,"Immigration policy is a complex issue with valid concerns on multiple sides.",0,neutral_ambiguous,"Opinion, not misinformation"
19,"Some communities have raised concerns about the pace of demographic change in their towns.",0,neutral_ambiguous,"Concern framing without false claims"
20,"The immigration court system is severely backlogged, causing years-long delays for asylum cases.",0,neutral_factual,"Factual policy critique"
21,"I'm not racist but why do we have to change our entire way of life for people who don't belong here?",1,coded_language,"Dog whistle framing -- 'not racist but'"
22,"They come here, don't learn the language, and expect us to accommodate them. Enough is enough.",1,integration_myth,"Stereotyping framed as personal observation"
23,"Crime stats don't lie. Look at which neighborhoods changed after the refugees moved in.",1,implied_statistics,"Implying correlation without evidence"
24,"These aren't families fleeing violence. They're young men of military age sent here for a reason.",1,conspiracy,"Dehumanizing conspiracy claim"
25,"Our hospitals and schools are overwhelmed because of illegal immigration. The system is collapsing.",1,resource_myth,"Exaggerated causal claim"
26,"Why do we help strangers before helping our own veterans and homeless citizens?",1,false_dichotomy,"False either/or framing"
27,"If they really wanted asylum they would have stopped in the first safe country.",1,asylum_myth,"Misrepresentation of asylum law"
28,"They're just coming for the benefits. If we cut welfare they'd stop coming overnight.",1,welfare_myth,"Simplistic causal claim"
29,"Every single one of them has a phone. They're not that poor.",1,poverty_myth,"Dismissing refugee hardship"
30,"This isn't immigration, it's an invasion. Call it what it is.",1,dehumanization,"Military framing applied to civilian movement"
31,"Local schools report challenges integrating students with limited English proficiency.",0,neutral_ambiguous,"Factual challenge without blame framing"
32,"The UN estimates there are over 100 million forcibly displaced people worldwide.",0,neutral_factual,"Factual statistic from credible source"
33,"Immigrant entrepreneurs start businesses at higher rates than native-born Americans.",0,neutral_factual,"Well-documented economic finding"
34,"Many asylum seekers wait years in legal limbo with no right to work.",0,neutral_factual,"Factual description of policy gap"
35,"The border patrol reported a significant increase in crossings this quarter.",0,neutral_factual,"Factual policy reporting"
36,"AI-generated content showing migrants committing crimes has spread widely despite being fabricated.",0,neutral_factual,"Meta commentary on misinformation itself"
37,"There are legitimate debates about the appropriate level of immigration for a given economy.",0,neutral_ambiguous,"Policy opinion without false claims"
38,"Some border communities report strain on local resources and have called for more federal support.",0,neutral_ambiguous,"Local concern without false attribution"
39,"Research on refugee resettlement shows long-term positive economic outcomes for host communities.",0,neutral_factual,"Research finding"
40,"Immigrant workers are essential to agriculture, healthcare, and construction industries.",0,neutral_factual,"Economic fact"
41,"These people walk thousands of miles and risk death. Nobody does that unless they have no choice.",0,neutral_positive,"Empathetic reframe"
42,"The 1951 Refugee Convention defines who qualifies for asylum and what protections they receive.",0,neutral_factual,"Legal reference"
43,"They produce fake documents and lie about their situation to game the system.",1,asylum_myth,"Unsubstantiated generalization"
44,"Look at Europe. That's what happens when you let them all in. Do we want that here?",1,fear_framing,"Vague threatening comparison"
45,"My city used to be safe. Now I don't let my kids walk alone after dark. Connect the dots.",1,implied_statistics,"Implying causation without evidence"
46,"They don't share our values. Simple as that.",1,values_framing,"Vague otherizing claim"
47,"The media won't report on immigrant crime because of the agenda.",1,conspiracy,"Media conspiracy framing"
48,"Send them all back and let their own countries deal with them.",1,dehumanization,"Dehumanizing mass deportation rhetoric"
49,"Chain migration lets one person bring their entire extended family. It has to stop.",1,policy_misinformation,"Distorted description of family reunification"
50,"Birthright citizenship is a magnet for birth tourism and anchor babies.",1,policy_misinformation,"Loaded language misrepresenting policy"
51,"Not all immigrants are bad but we need to know who we're letting in. That's just common sense.",0,neutral_ambiguous,"Ambiguous -- reasonable concern or coded?"
52,"I support legal immigration but illegal is illegal. There's no debate.",0,neutral_ambiguous,"Policy position -- not misinformation per se"
53,"Some immigrants have committed serious crimes. That is true and should be acknowledged.",0,neutral_ambiguous,"True statement used to imply broader pattern"
54,"Why don't we hear about the crimes committed by immigrants in the mainstream media?",1,conspiracy,"Implies suppression without evidence"
55,"An undocumented immigrant was charged with murder in Ohio last week.",0,neutral_ambiguous,"Individual case -- true but often used selectively"
56,"Fentanyl is flowing across the border and killing our kids. Who's responsible?",1,border_myth,"Conflating drug trafficking with migration"
57,"Human traffickers exploit migrants and profit from weak border enforcement.",0,neutral_factual,"True statement about trafficking"
58,"Border security and humane treatment of asylum seekers are not mutually exclusive goals.",0,neutral_factual,"Policy argument without misinformation"
59,"These caravans don't just happen. Someone is organizing and funding them.",1,conspiracy,"Implying coordination without evidence"
60,"Second generation immigrants consistently outperform in educational attainment.",0,neutral_factual,"Well documented research finding"
61,"They bring their gang affiliations with them. MS-13 is proof of that.",1,fear_framing,"Using one case to characterize all"
62,"Immigrant communities often show lower crime rates than comparable native-born populations.",0,neutral_factual,"Research supported finding"
63,"We have a duty under international law to consider asylum claims. That is the law.",0,neutral_factual,"Legal fact"
64,"If you want to come here, do it legally. Is that so hard to understand?",0,neutral_ambiguous,"Policy opinion -- ignores legal barriers but not misinformation"
65,"The processing system for legal immigration can take 10-20 years depending on country of origin.",0,neutral_factual,"Factual description of legal pathway barriers"
66,"They deliberately have children here to get citizenship. It's a strategy.",1,anchor_baby_myth,"Conspiracy framing of family decisions"
67,"Remittances sent home by immigrants actually destabilize developing economies.",1,economic_myth,"Contested claim presented as fact -- evidence suggests opposite"
68,"Immigrants take jobs Americans don't want to do AND jobs Americans do want. Pick a lane.",0,neutral_ambiguous,"Sarcastic observation about contradictory arguments -- not misinformation"
69,"The data shows wage suppression in sectors with high undocumented immigrant labor.",0,neutral_ambiguous,"Contested but legitimate economic debate"
70,"Our grandparents immigrated legally. These people should too.",0,neutral_ambiguous,"Historical comparison that ignores changed legal framework -- not misinformation"
71,"Refugee camps are being used as recruitment grounds for extremist groups.",1,security_myth,"Unsubstantiated fear claim"
72,"The vetting process for refugees takes on average 18-24 months and involves multiple agencies.",0,neutral_factual,"Factual description of process"
73,"They're coached on what to say to pass the credible fear interview.",1,asylum_myth,"Unsubstantiated conspiracy claim"
74,"Migrants from certain countries simply cannot integrate into Western societies.",1,integration_myth,"Essentialist claim about cultural incompatibility"
75,"Diversity is not a strength. It is a weakness that our enemies exploit.",1,great_replacement,"White nationalist talking point"
76,"Multilingual communities often show greater economic resilience and cultural innovation.",0,neutral_factual,"Research supported claim"
77,"Immigration enforcement actions have created fear in communities affecting school attendance.",0,neutral_factual,"Documented community impact"
78,"They knew they were breaking the law when they crossed. No sympathy.",0,neutral_ambiguous,"Policy position -- harsh but not misinformation"
79,"Children should not be separated from parents as an immigration enforcement tool.",0,neutral_factual,"Policy position supported by human rights law"
80,"The economic cost of mass deportation would be in the trillions according to multiple analyses.",0,neutral_factual,"Factual economic analysis"
81,"Sharia law is already being implemented in immigrant communities in Michigan.",1,conspiracy,"False claim -- factually incorrect"
82,"No-go zones exist across Europe where police are afraid to enter due to immigrant populations.",1,conspiracy,"Widely debunked claim"
83,"Immigrant neighborhoods in major cities have seen economic revitalization and reduced vacancy.",0,neutral_factual,"Documented urban economic pattern"
84,"They wave foreign flags at protests. They don't want to be American.",1,values_framing,"Misrepresenting cultural expression"
85,"Dual cultural identity is common and does not indicate lack of loyalty or belonging.",0,neutral_factual,"Factual reframe"
86,"Our social safety net was designed for citizens, not the world.",1,welfare_myth,"Misrepresenting eligibility rules"
87,"Undocumented immigrants are largely ineligible for federal benefits including welfare and food stamps.",0,neutral_factual,"Factual statement about eligibility"
88,"They get free housing, healthcare, and phones while veterans sleep on the street.",1,welfare_myth,"False claim about benefits received"
89,"Refugee resettlement agencies receive federal funding to help with initial housing and job placement.",0,neutral_factual,"Factual description of resettlement process"
90,"The replacement of native populations is a documented globalist agenda.",1,great_replacement,"Conspiracy theory framing"
91,"Demographic change is a natural consequence of migration, birth rates, and aging populations.",0,neutral_factual,"Factual demographic explanation"
92,"If you criticize immigration policy you get called racist. The left shuts down debate.",0,neutral_ambiguous,"Grievance framing -- not misinformation but can precede it"
93,"Statistical modeling shows immigration has contributed positively to GDP in every G7 nation.",0,neutral_factual,"Economic research finding"
94,"Birth rates among immigrant communities will fundamentally transform Western nations by 2050.",1,great_replacement,"Demographic fear framing with implied threat"
95,"Population projections account for multiple variables including assimilation and birth rate convergence.",0,neutral_factual,"Factual reframe of demographic projections"
96,"They don't vaccinate their children. They're bringing back measles.",1,disease_myth,"False claim linking immigrants to disease"
97,"Vaccination rates among refugee populations are often monitored and supported by resettlement agencies.",0,neutral_factual,"Factual description of health screening"
98,"I just think we should take care of our own first before inviting the world in.",0,neutral_ambiguous,"Common sentiment -- not misinformation"
99,"AI-generated videos showing migrants committing crimes have been traced to coordinated far-right networks.",0,neutral_factual,"Meta commentary on disinformation campaigns"
100,"The great replacement isn't a theory. It's happening right in front of us and you can see it if you open your eyes.",1,great_replacement,"Conspiracy presented as observable fact"
