sample_id,content_text,expected_label
1,Immigrants are replacing our culture and soon there won't be anything left of our heritage.,1
2,Studies show that undocumented immigrants commit crimes at significantly higher rates than citizens.,1
3,These people are coming here to take advantage of our welfare system and send money back home.,1
4,Illegal aliens are bringing diseases that were eradicated decades ago back into our country.,1
5,The great replacement is real and happening in every Western country simultaneously.,1
6,Migrants don't want to integrate -- they want to impose their culture on us.,1
7,Every town that takes in refugees sees a spike in sexual assaults. This is a fact.,1
8,"They're not refugees, they're economic migrants gaming the asylum system.",1
9,Open borders means open invitation for terrorists. Every migrant is a potential threat.,1
10,These caravans are organized and funded by globalist elites to destabilize our country.,1
11,Immigrants are hardworking contributors to our economy and communities.,0
12,New data from the Pew Research Center shows immigration has been a net economic positive for the US.,0
13,A local family from Guatemala has opened a restaurant that's become a neighborhood staple.,0
14,Asylum seekers are legally entitled to request protection under international law.,0
15,The number of undocumented immigrants in the US has remained relatively stable for over a decade.,0
16,My neighbor immigrated from Mexico 20 years ago and built a business employing 30 people.,0
17,Research consistently shows immigrants are less likely to commit crimes than native-born citizens.,0
18,Immigration policy is a complex issue with valid concerns on multiple sides.,0
19,Some communities have raised concerns about the pace of demographic change in their towns.,0
20,"The immigration court system is severely backlogged, causing years-long delays for asylum cases.",0
21,I'm not racist but why do we have to change our entire way of life for people who don't belong here?,1
22,"They come here, don't learn the language, and expect us to accommodate them. Enough is enough.",1
23,Crime stats don't lie. Look at which neighborhoods changed after the refugees moved in.,1
24,These aren't families fleeing violence. They're young men of military age sent here for a reason.,1
25,Our hospitals and schools are overwhelmed because of illegal immigration. The system is collapsing.,1
26,Why do we help strangers before helping our own veterans and homeless citizens?,1
27,If they really wanted asylum they would have stopped in the first safe country.,1
28,They're just coming for the benefits. If we cut welfare they'd stop coming overnight.,1
29,Every single one of them has a phone. They're not that poor.,1
30,"This isn't immigration, it's an invasion. Call it what it is.",1
31,Local schools report challenges integrating students with limited English proficiency.,0
32,The UN estimates there are over 100 million forcibly displaced people worldwide.,0
33,Immigrant entrepreneurs start businesses at higher rates than native-born Americans.,0
34,Many asylum seekers wait years in legal limbo with no right to work.,0
35,The border patrol reported a significant increase in crossings this quarter.,0
36,AI-generated content showing migrants committing crimes has spread widely despite being fabricated.,0
37,There are legitimate debates about the appropriate level of immigration for a given economy.,0
38,Some border communities report strain on local resources and have called for more federal support.,0
39,Research on refugee resettlement shows long-term positive economic outcomes for host communities.,0
40,"Immigrant workers are essential to agriculture, healthcare, and construction industries.",0
41,These people walk thousands of miles and risk death. Nobody does that unless they have no choice.,0
42,The 1951 Refugee Convention defines who qualifies for asylum and what protections they receive.,0
43,They produce fake documents and lie about their situation to game the system.,1
44,Look at Europe. That's what happens when you let them all in. Do we want that here?,1
45,My city used to be safe. Now I don't let my kids walk alone after dark. Connect the dots.,1
46,They don't share our values. Simple as that.,1
47,The media won't report on immigrant crime because of the agenda.,1
48,Send them all back and let their own countries deal with them.,1
49,Chain migration lets one person bring their entire extended family. It has to stop.,1
50,Birthright citizenship is a magnet for birth tourism and anchor babies.,1
51,Not all immigrants are bad but we need to know who we're letting in. That's just common sense.,0
52,I support legal immigration but illegal is illegal. There's no debate.,0
53,Some immigrants have committed serious crimes. That is true and should be acknowledged.,0
54,Why don't we hear about the crimes committed by immigrants in the mainstream media?,1
55,An undocumented immigrant was charged with murder in Ohio last week.,0
56,Fentanyl is flowing across the border and killing our kids. Who's responsible?,1
57,Human traffickers exploit migrants and profit from weak border enforcement.,0
58,Border security and humane treatment of asylum seekers are not mutually exclusive goals.,0
59,These caravans don't just happen. Someone is organizing and funding them.,1
60,Second generation immigrants consistently outperform in educational attainment.,0
61,They bring their gang affiliations with them. MS-13 is proof of that.,1
62,Immigrant communities often show lower crime rates than comparable native-born populations.,0
63,We have a duty under international law to consider asylum claims. That is the law.,0
64,"If you want to come here, do it legally. Is that so hard to understand?",0
65,The processing system for legal immigration can take 10-20 years depending on country of origin.,0
66,They deliberately have children here to get citizenship. It's a strategy.,1
67,Remittances sent home by immigrants actually destabilize developing economies.,1
68,Immigrants take jobs Americans don't want to do AND jobs Americans do want. Pick a lane.,0
69,The data shows wage suppression in sectors with high undocumented immigrant labor.,0
70,Our grandparents immigrated legally. These people should too.,0
71,Refugee camps are being used as recruitment grounds for extremist groups.,1
72,The vetting process for refugees takes on average 18-24 months and involves multiple agencies.,0
73,They're coached on what to say to pass the credible fear interview.,1
74,Migrants from certain countries simply cannot integrate into Western societies.,1
75,Diversity is not a strength. It is a weakness that our enemies exploit.,1
76,Multilingual communities often show greater economic resilience and cultural innovation.,0
77,Immigration enforcement actions have created fear in communities affecting school attendance.,0
78,They knew they were breaking the law when they crossed. No sympathy.,0
79,Children should not be separated from parents as an immigration enforcement tool.,0
80,The economic cost of mass deportation would be in the trillions according to multiple analyses.,0
81,Sharia law is already being implemented in immigrant communities in Michigan.,1
82,No-go zones exist across Europe where police are afraid to enter due to immigrant populations.,1
83,Immigrant neighborhoods in major cities have seen economic revitalization and reduced vacancy.,0
84,They wave foreign flags at protests. They don't want to be American.,1
85,Dual cultural identity is common and does not indicate lack of loyalty or belonging.,0
86,"Our social safety net was designed for citizens, not the world.",1
87,Undocumented immigrants are largely ineligible for federal benefits including welfare and food stamps.,0
88,"They get free housing, healthcare, and phones while veterans sleep on the street.",1
89,Refugee resettlement agencies receive federal funding to help with initial housing and job placement.,0
90,The replacement of native populations is a documented globalist agenda.,1
91,"Demographic change is a natural consequence of migration, birth rates, and aging populations.",0
92,If you criticize immigration policy you get called racist. The left shuts down debate.,0
93,Statistical modeling shows immigration has contributed positively to GDP in every G7 nation.,0
94,Birth rates among immigrant communities will fundamentally transform Western nations by 2050.,1
95,Population projections account for multiple variables including assimilation and birth rate convergence.,0
96,They don't vaccinate their children. They're bringing back measles.,1
97,Vaccination rates among refugee populations are often monitored and supported by resettlement agencies.,0
98,I just think we should take care of our own first before inviting the world in.,0
99,AI-generated videos showing migrants committing crimes have been traced to coordinated far-right networks.,0
100,The great replacement isn't a theory. It's happening right in front of us and you can see it if you open your eyes.,1
